virus tax id	virus name	virus lineage	refseq id	KEGG GENOME	KEGG DISEASE	DISEASE	host tax id	host name	host lineage	pmid	evidence
10815	Abutilon mosaic virus	Viruses; ssDNA viruses; Geminiviridae; Begomovirus	NC_001928, NC_001929				3630	Abutilon	Eukaryota; Viridiplantae; Streptophyta; Streptophytina; rosids; Malvales; Malvaceae; Malvoideae		RefSeq, UniProt
10815	Abutilon mosaic virus	Viruses; ssDNA viruses; Geminiviridae; Begomovirus	NC_001928, NC_001929				3635	Gossypium hirsutum	Eukaryota; Viridiplantae; Streptophyta; Streptophytina; rosids; Malvales; Malvaceae; Malvoideae; Gossypium		UniProt
10815	Abutilon mosaic virus	Viruses; ssDNA viruses; Geminiviridae; Begomovirus	NC_001928, NC_001929				3885	Phaseolus vulgaris	Eukaryota; Viridiplantae; Streptophyta; Streptophytina; rosids; Fabales; Fabaceae; Papilionoideae; Phaseoleae; Phaseolus	18678753	Literature, UniProt
10815	Abutilon mosaic virus	Viruses; ssDNA viruses; Geminiviridae; Begomovirus	NC_001928, NC_001929				47605	Hibiscus	Eukaryota; Viridiplantae; Streptophyta; Streptophytina; rosids; Malvales; Malvaceae; Malvoideae		UniProt
10815	Abutilon mosaic virus	Viruses; ssDNA viruses; Geminiviridae; Begomovirus	NC_001928, NC_001929				96479	Malva	Eukaryota; Viridiplantae; Streptophyta; Streptophytina; rosids; Malvales; Malvaceae; Malvoideae		UniProt
10815	Abutilon mosaic virus	Viruses; ssDNA viruses; Geminiviridae; Begomovirus	NC_001928, NC_001929				108335	Sida	Eukaryota; Viridiplantae; Streptophyta; Streptophytina; rosids; Malvales; Malvaceae; Malvoideae		UniProt
554168	Acanthamoeba castellanii mamavirus	Viruses; dsDNA viruses, no RNA stage; Mimiviridae; unclassified Mimiviridae	JF801956				5755	Acanthamoeba castellanii	Eukaryota; Longamoebia; Acanthamoebidae; Acanthamoeba		
212035	Acanthamoeba polyphaga mimivirus	Viruses; dsDNA viruses, no RNA stage; Mimiviridae; Mimivirus	NC_014649				5755	Acanthamoeba castellanii	Eukaryota; Longamoebia; Acanthamoebidae; Acanthamoeba		RefSeq
212035	Acanthamoeba polyphaga mimivirus	Viruses; dsDNA viruses, no RNA stage; Mimiviridae; Mimivirus	NC_014649				5757	Acanthamoeba polyphaga	Eukaryota; Longamoebia; Acanthamoebidae; Acanthamoeba		UniProt
1269028	Acanthamoeba polyphaga moumouvirus	Viruses; dsDNA viruses, no RNA stage; Mimiviridae; unclassified Mimiviridae; Moumouvirus	NC_020104				5757	Acanthamoeba polyphaga	Eukaryota; Longamoebia; Acanthamoebidae; Acanthamoeba		RefSeq
322019	Acanthocystis turfacea Chlorella virus 1	Viruses; dsDNA viruses, no RNA stage; Phycodnaviridae; Chlorovirus	NC_008724				554066	Chlorella heliozoae	Eukaryota; Viridiplantae; Chlorophyta; Trebouxiophyceae; Chlorellales; Chlorellaceae; Chlorella	17276475	Literature, RefSeq
1168547	Acartia tonsa copepod circovirus	Viruses; ssDNA viruses; Circoviridae; Circovirus; unclassified Circovirus	NC_020099				136180	Acartia tonsa	Eukaryota; Metazoa; Arthropoda; Crustacea; Maxillopoda; Copepoda; Neocopepoda; Gymnoplea; Calanoida; Acartiidae; Acartia		RefSeq
185639	Acheta domestica densovirus	Viruses; ssDNA viruses; Parvoviridae; Densovirinae; Ambidensovirus; Orthopteran ambidensovirus 1	NC_004290				6997	Acheta domesticus	Eukaryota; Metazoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Polyneoptera; Orthoptera; Ensifera; Grylloidea; Gryllidae; Gryllinae; Acheta	21775445	Literature
1404345	Acheta domestica mini ambidensovirus	Viruses; ssDNA viruses; Parvoviridae; Densovirinae; Orthopteran densovirus 1	NC_022564				6994	Ensifera	Eukaryota; Metazoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Polyneoptera; Orthoptera		RefSeq
1404345	Acheta domestica mini ambidensovirus	Viruses; ssDNA viruses; Parvoviridae; Densovirinae; Orthopteran densovirus 1	NC_022564				6995	Gryllidae	Eukaryota; Metazoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Polyneoptera; Orthoptera; Ensifera; Grylloidea		RefSeq
1291515	Acheta domesticus volvovirus	Viruses; ssDNA viruses; unclassified ssDNA viruses	NC_021074				6997	Acheta domesticus	Eukaryota; Metazoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Polyneoptera; Orthoptera; Ensifera; Grylloidea; Gryllidae; Gryllinae; Acheta		RefSeq
1261100	Achimota virus 1	Viruses; ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Paramyxoviridae; Rubulavirus; Achimota rubulavirus 1	NC_025403				77214	Eidolon helvum	Eukaryota; Metazoa; Chordata; Craniata; Mammalia; Laurasiatheria; Chiroptera; Megachiroptera; Pteropodidae; Pteropodinae; Eidolon		RefSeq
1261101	Achimota virus 2	Viruses; ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Paramyxoviridae; Rubulavirus; Achimota rubulavirus 2	NC_025404				77214	Eidolon helvum	Eukaryota; Metazoa; Chordata; Craniata; Mammalia; Laurasiatheria; Chiroptera; Megachiroptera; Pteropodidae; Pteropodinae; Eidolon		RefSeq
10876	Acholeplasma phage MV-L1	Viruses; ssDNA viruses; Inoviridae; Plectrovirus; Acholeplasma virus MV-L51	NC_001341				2148	Acholeplasma laidlawii	Bacteria; Tenericutes; Mollicutes; Acholeplasmatales; Acholeplasmataceae; Acholeplasma		RefSeq
46014	Acholeplasma virus L2	Viruses; dsDNA viruses, no RNA stage; Plasmaviridae; Plasmavirus	NC_001447				2148	Acholeplasma laidlawii	Bacteria; Tenericutes; Mollicutes; Acholeplasmatales; Acholeplasmataceae; Acholeplasma	3573152, 8163159	Literature, RefSeq
1589747	Achromobacter phage 83-24	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Jwxvirus; Achromobacter virus 83-24	NC_028834				85698	Achromobacter xylosoxidans	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	24466294	Literature, RefSeq
1416009	Achromobacter phage JWAlpha	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; N4virus; unclassified N4likevirus	NC_023556				85698	Achromobacter xylosoxidans	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter		RefSeq
1416008	Achromobacter phage JWDelta	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; N4virus; unclassified N4likevirus; Achromobacter phage JWAlpha	KF787094				85698	Achromobacter xylosoxidans	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter		RefSeq
1589748	Achromobacter phage JWF	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; unclassified Siphoviridae	NC_029075				85698	Achromobacter xylosoxidans	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter		RefSeq
1589746	Achromobacter phage JWX	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Jwxvirus; Achromobacter virus JWX	NC_028768				85698	Achromobacter xylosoxidans	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	24466294	Literature, RefSeq
1610509	Achromobacter phage phiAxp-1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; unclassified Siphoviridae	NC_029033				85698	Achromobacter xylosoxidans	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	26908262	Literature, RefSeq
1664246	Achromobacter phage phiAxp-2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; unclassified Siphoviridae	NC_029106				85698	Achromobacter xylosoxidans	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter		RefSeq
1664247	Achromobacter phage phiAxp-3	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; N4virus; unclassified N4likevirus	NC_028908				85698	Achromobacter xylosoxidans	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter		RefSeq
437444	Acidianus bottle-shaped virus	Viruses; dsDNA viruses, no RNA stage; Ampullaviridae; Ampullavirus	NC_009452				269667	Acidianus convivator	Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus		RefSeq, UniProt
1732173	Acidianus bottle-shaped virus 2	Viruses; dsDNA viruses, no RNA stage; Ampullaviridae; Ampullavirus; unclassified Ampullavirus	NC_028938				2281	Sulfolobales	Archaea; Crenarchaeota; Thermoprotei	26439881	Literature, RefSeq
1732174	Acidianus bottle-shaped virus 3	Viruses; dsDNA viruses, no RNA stage; Ampullaviridae; Ampullavirus; unclassified Ampullavirus	NC_028787				2281	Sulfolobales	Archaea; Crenarchaeota; Thermoprotei	26439881	Literature, RefSeq
235266	Acidianus filamentous virus 1	Viruses; dsDNA viruses, no RNA stage; Ligamenvirales; Lipothrixviridae; Gammalipothrixvirus	NC_005830				12915	Acidianus infernus	Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus		RefSeq, UniProt
235266	Acidianus filamentous virus 1	Viruses; dsDNA viruses, no RNA stage; Ligamenvirales; Lipothrixviridae; Gammalipothrixvirus	NC_005830				563177	Acidianus hospitalis	Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus		UniProt
300186	Acidianus filamentous virus 2	Viruses; dsDNA viruses, no RNA stage; Ligamenvirales; Lipothrixviridae; Deltalipothrixvirus	NC_009884				314564	Acidianus pozzuoliensis	Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus		RefSeq
300186	Acidianus filamentous virus 2	Viruses; dsDNA viruses, no RNA stage; Ligamenvirales; Lipothrixviridae; Deltalipothrixvirus	NC_009884				315458	Acidianus sp. F28	Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus		UniProt
346881	Acidianus filamentous virus 3	Viruses; dsDNA viruses, no RNA stage; Ligamenvirales; Lipothrixviridae; Betalipothrixvirus	NC_010155				12914	Acidianus	Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae		
346882	Acidianus filamentous virus 6	Viruses; dsDNA viruses, no RNA stage; Ligamenvirales; Lipothrixviridae; Betalipothrixvirus	NC_010152				269667	Acidianus convivator	Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus		RefSeq
346883	Acidianus filamentous virus 7	Viruses; dsDNA viruses, no RNA stage; Ligamenvirales; Lipothrixviridae; Betalipothrixvirus	NC_010153				269667	Acidianus convivator	Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus		RefSeq
346884	Acidianus filamentous virus 8	Viruses; dsDNA viruses, no RNA stage; Ligamenvirales; Lipothrixviridae; Betalipothrixvirus	NC_010154				269667	Acidianus convivator	Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus		RefSeq
512792	Acidianus filamentous virus 9	Viruses; dsDNA viruses, no RNA stage; Ligamenvirales; Lipothrixviridae; Betalipothrixvirus	NC_010537				12914	Acidianus	Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae		RefSeq
309181	Acidianus rod-shaped virus 1	Viruses; dsDNA viruses, no RNA stage; Ligamenvirales; Rudiviridae; Rudivirus	NC_009965				315460	Acidianus sp. Acii26	Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus		RefSeq
1732175	Acidianus rod-shaped virus 2	Viruses; dsDNA viruses, no RNA stage; Ligamenvirales; Rudiviridae; Rudivirus; unclassified Rudivirus	NC_029314				2281	Sulfolobales	Archaea; Crenarchaeota; Thermoprotei		RefSeq
693629	Acidianus spindle-shaped virus 1	Viruses; dsDNA viruses, no RNA stage; Fuselloviridae; Betafusellovirus	NC_013585				41673	Acidianus brierleyi	Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus		RefSeq
1797140	Acidianus tailed spindle virus	Viruses; dsDNA viruses, no RNA stage; Bicaudaviridae; unclassified Bicaudaviridae	NC_029316				1872104	Acidianus sp.	Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus		RefSeq
315953	Acidianus two-tailed virus	Viruses; dsDNA viruses, no RNA stage; Bicaudaviridae; Bicaudavirus	NC_007409				269667	Acidianus convivator	Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus		RefSeq, UniProt
1229761	Acidithiobacillus phage AcaML1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; unclassified Myoviridae	JX507079				637389	Acidithiobacillus caldus ATCC 51756	Bacteria; Proteobacteria; Acidithiobacillia; Acidithiobacillales; Acidithiobacillaceae; Acidithiobacillus		RefSeq
889876	Acinetobacter phage AB1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Ap22virus; Acinetobacter virus AB1	HM368260				470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex		RefSeq
1273713	Acinetobacter phage AB3	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Autographivirinae; Fri1virus; Acinetobacter virus AB3	NC_021337				470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex		
1235824	Acinetobacter phage Abp1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Autographivirinae; Fri1virus; Acinetobacter virus Abp1	NC_021316				470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex		RefSeq
762660	Acinetobacter phage Ac42	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus; unclassified T4virus	NC_014660				469	Acinetobacter	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae	21029436	Literature
760732	Acinetobacter phage Acj61	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus; unclassified T4virus	NC_014661				40214	Acinetobacter johnsonii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter	21029436	Literature, RefSeq
760939	Acinetobacter phage Acj9	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus; unclassified T4virus	NC_014663				40214	Acinetobacter johnsonii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter	21029436	Literature, RefSeq
154784	Acinetobacter phage AP205	Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Leviviridae; Levivirus; unclassified Levivirus	NC_002700				70347	Acinetobacter genomosp. 16BJ	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter		RefSeq
1187128	Acinetobacter phage AP22	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Ap22virus; Acinetobacter virus AP22	NC_017984				470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex		RefSeq
1221835	Acinetobacter phage Bphi-B1251	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; unclassified Podoviridae	NC_019541				470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex		RefSeq
1647373	Acinetobacter phage Fri1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Autographivirinae; Fri1virus; Acinetobacter virus Fri1	NC_028848				470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex		RefSeq
1243183	Acinetobacter phage IME-AB2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Ap22virus; Acinetobacter virus AB2	JX976549				470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex		RefSeq
1458669	Acinetobacter phage IME_AB3	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; unclassified Siphoviridae	NC_023590				470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex		RefSeq
1792222	Acinetobacter phage LZ35	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; unclassified Myoviridae	NC_031117				470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex		RefSeq
1406779	Acinetobacter phage Petty	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Autographivirinae; Phikmvvirus; unclassified phiKMV-like phages	NC_023570				470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex		RefSeq
691318	Acinetobacter phage phiAB1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Autographivirinae; Fri1virus; Acinetobacter virus phiAB1	NC_028675				470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex		RefSeq
1698439	Acinetobacter phage phiAB6	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; unclassified Podoviridae	NC_031086				470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex		RefSeq
1229760	Acinetobacter phage phiAC-1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; unclassified Myoviridae	NC_028995				487316	Acinetobacter soli	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter		RefSeq
1406780	Acinetobacter phage Presley	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; N4virus; unclassified N4likevirus	NC_023581				1343071	Acinetobacter nosocomialis M2	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex		RefSeq
1481186	Acinetobacter phage vB_AbaM_Acibel004	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; unclassified Myoviridae	NC_025462				470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex		RefSeq
1735582	Acinetobacter phage vB_AbaM_IME200	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Autographivirinae; Fri1virus; Acinetobacter virus IME200	NC_028987				470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex		RefSeq
1605379	Acinetobacter phage vB_AbaM_phiAbaA1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; unclassified Myoviridae	NC_031280				470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex		RefSeq
1481187	Acinetobacter phage vB_AbaP_Acibel007	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; unclassified Podoviridae	NC_025457				470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex		RefSeq
1701807	Acinetobacter phage vB_AbaP_PD-6A3	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Autographivirinae; Fri1virus; Acinetobacter virus PD6A3	NC_028684				470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex		RefSeq
1701808	Acinetobacter phage vB_AbaP_PD-AB9	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Autographivirinae; Fri1virus; Acinetobacter virus PDAB9	NC_028679				470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex		RefSeq
1852629	Acinetobacter phage vB_AbaS_TRS1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; unclassified Siphoviridae	NC_031098				927193	Acinetobacter baumannii A118	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex		RefSeq
1505225	Acinetobacter phage YMC-13-01-C62	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Ap22virus; Acinetobacter virus AbC62	NC_024785				470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex		RefSeq
1628720	Acinetobacter phage YMC11/12/R2315	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; unclassified Myoviridae	NC_028855				472	Acinetobacter sp.	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter		RefSeq
1560342	Acinetobacter phage YMC13/03/R2096	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; unclassified Myoviridae	NC_027332				470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex		RefSeq
1049283	Acinetobacter phage ZZ1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus; unclassified T4virus	NC_018087				470	Acinetobacter baumannii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex		RefSeq
279006	Acinetobacter virus 133	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; unassigned Tevenvirinae	NC_015250				40214	Acinetobacter johnsonii	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter	21029436	Literature, RefSeq
101764	Aconitum latent virus	Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Tymovirales; Betaflexiviridae; Quinvirinae; Carlavirus	NC_002795				46246	Delphinium	Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Ranunculales; Ranunculaceae; Ranunculoideae; Delphinieae		RefSeq
2024724	Actinidia virus 1	Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Closteroviridae; unclassified Closteroviridae	NC_035453				3625	Actinidia chinensis	Eukaryota; Viridiplantae; Streptophyta; Streptophytina; asterids; Ericales; Actinidiaceae; Actinidia		RefSeq
